"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.58731832369697e-27,1.4348425151085,0.372,0.098,5.3235481940149e-23,"Macrophage_MMP9_high_mito","ATP6V1A"
3.14219897208439e-08,1.2824594970098,0.095,0.32,0.00105383069125766,"cDC2","ILK"
4.25072434809334e-10,1.25611672564102,0.692,0.797,1.42560793186355e-05,"cDC2","AIF1"
2.84062186253519e-33,1.17668088619127,0.985,0.978,9.52687760257053e-29,"cDC2","TMSB4X"
1.38974842106779e-07,1.16122771989848,0.129,0.363,0.00466093825457714,"cDC2","PHB"
1.18955247898994e-06,1.15812555650183,0.114,0.322,0.0398952110403645,"cDC2","COX7A2L"
9.56164971816852e-07,1.13266752716934,0.159,0.402,0.0320678608247936,"cDC2","IFITM2"
4.91925038324455e-07,1.10378156837476,0.1,0.3,0.0164981819353256,"cDC2","TMEM14B"
2.21318790510908e-08,1.06623033141029,0.667,0.825,0.000742258959615484,"cDC2","PFDN5"
5.58353710178219e-07,1.05797899101503,0.139,0.368,0.0187260667319571,"cDC2","DRAM2"
1.19192533418436e-06,1.05158806767831,0.169,0.418,0.0399747918578752,"cDC2","PSMA1"
2.0057921969177e-08,1.04598031860833,0.134,0.396,0.000672702587002259,"cDC2","WBP2"
3.51486270199816e-09,1.02912912115161,0.164,0.467,0.000117881465299614,"cDC2","TCIRG1"
8.46594040586419e-08,1.02193248545609,0.109,0.335,0.00283930709331873,"cDC2","FBXW5"
3.50899490691971e-08,0.997636597168048,0.169,0.445,0.00117684671188273,"cDC2","RAP1A"
3.7666541440531e-15,0.985790054496014,0.846,0.887,1.26326046683253e-10,"cDC2","RPS4X"
5.91167161544431e-07,0.973462867141985,0.124,0.344,0.0198265642638771,"cDC2","EIF4G1"
5.94551259537457e-22,0.973270836643657,0.995,0.997,1.99400601423672e-17,"cDC2","FTL"
3.52735617120387e-08,0.969141805186466,0.706,0.823,0.00118300471269835,"cDC2","RPL23A"
1.08238115927412e-06,0.967505065718095,0.159,0.402,0.0363008993197353,"cDC2","RAB13"
1.48640016015841e-06,0.957615374664193,0.085,0.263,0.0498508885713928,"cDC2","AP3S1"
2.94388516553875e-07,0.95447238650497,0.144,0.391,0.00987320206818386,"cDC2","PSMB7"
2.7593130269226e-18,0.951722227883908,0.866,0.907,9.25418402969302e-14,"cDC2","RPL19"
9.69186567777758e-07,0.948634050656879,0.139,0.365,0.0325045791101304,"cDC2","SFT2D1"
5.72269279103739e-13,0.94623267505241,0.826,0.91,1.91927670825812e-08,"cDC2","RPS23"
9.22736914519582e-07,0.946204957733437,0.164,0.406,0.0309467506391578,"cDC2","SCP2"
5.79587990002786e-08,2.26661304705192,0.271,0.161,0.00194382220087134,"Macrophage","AL450998.2"
4.51974830701503e-07,2.0742040785742,0.438,0.384,0.015158331872067,"Macrophage","IFI30"
9.48320811917421e-08,1.70960836667347,0.462,0.399,0.00318047833900865,"Macrophage","INTS6"
2.37210504712906e-09,1.52590871379514,0.495,0.407,7.95556590706145e-05,"Macrophage","PCF11"
4.18630126450578e-10,1.47072961306108,0.559,0.476,1.40400171808995e-05,"Macrophage","AC007952.4"
1.17412089013857e-06,1.42227557491639,0.472,0.448,0.0393776664134673,"Macrophage","PPP1R10"
1.57914660890889e-18,1.3481496210374,0.769,0.731,5.29614189695862e-14,"Macrophage","IER5"
6.30801055859441e-33,1.33783789142227,0.94,0.867,2.11558058114139e-28,"Macrophage","JUN"
