"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","category","neglog10p","neglog10p_plot"
0,6.27568300489639,0.41,0.007,0,"COX7A1","FDR<0.01 & |log2FC|>1",Inf,300
0,7.80537848074321,0.397,0.002,0,"CDH6","FDR<0.01 & |log2FC|>1",Inf,300
0,7.76167222440462,0.393,0.005,0,"CPXM1","FDR<0.01 & |log2FC|>1",Inf,300
0,8.02104152469084,0.389,0.004,0,"LAMC3","FDR<0.01 & |log2FC|>1",Inf,300
0,8.49596056861546,0.376,0.004,0,"KCNJ8","FDR<0.01 & |log2FC|>1",Inf,300
0,5.35775021814997,0.371,0.007,0,"NID2","FDR<0.01 & |log2FC|>1",Inf,300
0,8.8786296331327,0.362,0.002,0,"ECM2","FDR<0.01 & |log2FC|>1",Inf,300
0,6.3469926350392,0.345,0.005,0,"ATP1A2","FDR<0.01 & |log2FC|>1",Inf,300
0,7.57751796817045,0.332,0.002,0,"ABCC9","FDR<0.01 & |log2FC|>1",Inf,300
0,8.05662459537756,0.332,0.003,0,"LMOD1","FDR<0.01 & |log2FC|>1",Inf,300
0,8.61861449750363,0.314,0.001,0,"COX4I2","FDR<0.01 & |log2FC|>1",Inf,300
0,8.34675617494868,0.31,0.003,0,"FOXS1","FDR<0.01 & |log2FC|>1",Inf,300
0,9.52468945938181,0.301,0.001,0,"FAM162B","FDR<0.01 & |log2FC|>1",Inf,300
0,7.91398416356681,0.284,0.002,0,"SLIT3","FDR<0.01 & |log2FC|>1",Inf,300
0,9.62251031808382,0.258,0.001,0,"TBX15","FDR<0.01 & |log2FC|>1",Inf,300
3.85371203756172e-322,8.32706276825477,0.314,0.004,1.29245794315745e-317,"HEYL","FDR<0.01 & |log2FC|>1",321.414120740425,300
1.15907800514356e-320,5.26664780145759,0.476,0.018,3.88731581365049e-316,"FHL1","FDR<0.01 & |log2FC|>1",319.935887335336,300
5.17312422609369e-318,5.08560722176075,0.633,0.04,1.7349624029473e-313,"CAVIN3","FDR<0.01 & |log2FC|>1",317.286247092428,300
2.50943945386232e-317,8.23283687092943,0.406,0.012,8.41615804036344e-313,"PRELP","FDR<0.01 & |log2FC|>1",316.600423278233,300
1.56319805056524e-314,3.86367929775463,0.454,0.016,5.2426536219857e-310,"TMEM204","FDR<0.01 & |log2FC|>1",313.805985995225,300
8.4601615816999e-313,8.30799330535895,0.31,0.005,2.83736899127051e-308,"SLC38A11","FDR<0.01 & |log2FC|>1",312.072621342236,300
3.63566509451217e-312,5.83139844607411,0.886,0.106,1.21932935939749e-307,"COL6A2","FDR<0.01 & |log2FC|>1",311.439416129384,300
2.03223705190313e-311,7.28772418607937,0.432,0.015,6.81571662467273e-307,"LZTS1","FDR<0.01 & |log2FC|>1",310.692025634809,300
9.4466734378848e-307,9.8000462974191,0.231,0.001,3.1682253375978e-302,"ASPN","FDR<0.01 & |log2FC|>1",306.024721097513,300
2.07257686356399e-306,5.01494448492972,0.921,0.115,6.95100828502092e-302,"SPARC","FDR<0.01 & |log2FC|>1",305.683489354238,300
1.47293047981515e-305,10.1908221104224,0.223,0,4.93991424320404e-301,"EBF2","FDR<0.01 & |log2FC|>1",304.831817750744,300
2.23112841043091e-303,6.35791086994808,0.502,0.024,7.4827584629032e-299,"FOXD1","FDR<0.01 & |log2FC|>1",302.651475433599,300
5.44463091504549e-303,7.46100024331088,0.376,0.01,1.82602031628796e-298,"PRKG1","FDR<0.01 & |log2FC|>1",302.264031555209,300
3.94203385859909e-302,8.54571475910257,0.236,0.001,1.32207931549696e-297,"C7","FDR<0.01 & |log2FC|>1",301.404279649833,300
6.87202425717596e-302,5.9997289350501,0.598,0.038,2.30473949537167e-297,"NNMT","FDR<0.01 & |log2FC|>1",301.162915316182,300
8.31396039400528e-297,5.55176946586552,0.45,0.018,2.78833603694149e-292,"RBMS3","FDR<0.01 & |log2FC|>1",296.080192048714,296.080192048714
4.24968863396218e-294,5.3710973851526,0.948,0.135,1.42526057405823e-289,"IGFBP7","FDR<0.01 & |log2FC|>1",293.371642888657,293.371642888657
2.55425222725412e-290,6.81555209751057,0.664,0.054,8.56645111976488e-286,"COL5A2","FDR<0.01 & |log2FC|>1",289.592736219251,289.592736219251
3.81619511251483e-289,6.21884878699168,0.367,0.01,1.27987551683523e-284,"RASL12","FDR<0.01 & |log2FC|>1",288.418369429009,288.418369429009
6.50687670179119e-288,9.94235394750642,0.218,0.001,2.18227630824673e-283,"LINC01197","FDR<0.01 & |log2FC|>1",287.186627422594,287.186627422594
3.33150846322444e-286,7.98015667236076,0.245,0.002,1.11732130839621e-281,"VGLL3","FDR<0.01 & |log2FC|>1",285.477359079131,285.477359079131
6.52325477992006e-286,5.89642590051531,0.773,0.081,2.18776918808959e-281,"COL4A2","FDR<0.01 & |log2FC|>1",285.18553565883,285.18553565883
2.18640001146963e-282,8.69228488152453,0.218,0.001,7.33274835846685e-278,"TBX18","FDR<0.01 & |log2FC|>1",281.660270379037,281.660270379037
1.88108563614731e-281,4.96993431105944,0.703,0.062,6.30878500651086e-277,"FILIP1L","FDR<0.01 & |log2FC|>1",280.725591432807,280.725591432807
1.92338203388902e-281,8.92110090514171,0.214,0.001,6.450638665257e-277,"FHL5","FDR<0.01 & |log2FC|>1",280.71593444497,280.71593444497
4.0771824539887e-275,6.32650706442749,0.415,0.016,1.36740545141873e-270,"RARRES2","FDR<0.01 & |log2FC|>1",274.389639853427,274.389639853427
1.30816700090599e-273,5.24720287873627,0.393,0.014,4.38733048763852e-269,"MSRB3","FDR<0.01 & |log2FC|>1",272.883336810337,272.883336810337
6.77674386515603e-269,4.06662846099488,0.572,0.037,2.27278435749603e-264,"ZEB1","FDR<0.01 & |log2FC|>1",268.16897892871,268.16897892871
2.40184555493988e-268,4.25190305064747,0.616,0.046,8.05530962215739e-264,"AKAP12","FDR<0.01 & |log2FC|>1",267.619454922326,267.619454922326
1.15307634427106e-261,7.24515106174527,0.319,0.008,3.8671874434163e-257,"ISLR","FDR<0.01 & |log2FC|>1",260.93814193746,260.93814193746
1.60834910520876e-260,6.72351045522244,0.367,0.013,5.39408122904915e-256,"PCDH18","FDR<0.01 & |log2FC|>1",259.793619678218,259.793619678218
1.94959273488353e-260,5.71045205499135,0.817,0.108,6.53854411425238e-256,"IGFBP4","FDR<0.01 & |log2FC|>1",259.71005610221,259.71005610221
5.29872189254528e-257,5.02567786205618,0.546,0.037,1.77708534832184e-252,"EFEMP2","FDR<0.01 & |log2FC|>1",256.275828874164,256.275828874164
2.40143132502067e-256,5.89059365082628,0.358,0.012,8.05392037785431e-252,"ITGA7","FDR<0.01 & |log2FC|>1",255.619529828592,255.619529828592
4.06986943377336e-254,5.83849387650309,0.402,0.017,1.36495281069891e-249,"FOXC2","FDR<0.01 & |log2FC|>1",253.390419523232,253.390419523232
1.830200171244e-253,4.26888507340285,0.345,0.011,6.13812533431813e-249,"ATP1B2","FDR<0.01 & |log2FC|>1",252.73750140835,252.73750140835
3.02275463849531e-253,7.17879650592612,0.227,0.002,1.01377145065856e-248,"PDE3A","FDR<0.01 & |log2FC|>1",252.519597103723,252.519597103723
6.79110033475384e-252,6.04807687403671,0.834,0.116,2.27759923026974e-247,"TAGLN","FDR<0.01 & |log2FC|>1",251.168059853025,251.168059853025
1.70064596554543e-245,5.87458542332623,0.306,0.008,5.70362643924626e-241,"PTGIR","FDR<0.01 & |log2FC|>1",244.769386086865,244.769386086865
2.01102934608936e-243,6.27115538972103,0.917,0.171,6.7445902209145e-239,"CALD1","FDR<0.01 & |log2FC|>1",242.696581591884,242.696581591884
1.76987415320123e-241,7.70891120408725,0.21,0.002,5.93580393500628e-237,"HSPB6","FDR<0.01 & |log2FC|>1",240.752057613024,240.752057613024
2.76066518250756e-240,6.58214662869983,0.314,0.009,9.25871888909386e-236,"SFTA1P","FDR<0.01 & |log2FC|>1",239.558986262034,239.558986262034
3.0005758095871e-235,5.70654028308742,0.38,0.016,1.00633311501932e-230,"LAMA2","FDR<0.01 & |log2FC|>1",234.522795396304,234.522795396304
4.31338632593705e-232,8.09495857790018,0.183,0.001,1.44662350599277e-227,"SLCO1C1","FDR<0.01 & |log2FC|>1",231.365181642779,231.365181642779
3.84509396444137e-231,6.42025600082126,0.489,0.033,1.28956761379435e-226,"C1S","FDR<0.01 & |log2FC|>1",230.415093042666,230.415093042666
2.93162752649039e-228,5.63182897326394,0.856,0.146,9.83209239834347e-224,"MYL9","FDR<0.01 & |log2FC|>1",227.532891209156,227.532891209156
