"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significance"
8.46061002435161e-168,4.89760139951435,0.458,0.023,2.83751938996704e-163,"LRRC32","Upregulated"
1.06789077405141e-165,6.98545741545562,0.242,0.005,3.58149207801363e-161,"RUNDC3B","Upregulated"
5.50509792563799e-165,5.49601584816384,0.358,0.013,1.84629974230047e-160,"SH2D3C","Upregulated"
3.15149604250723e-164,5.69590345930839,0.808,0.094,1.05694874273607e-159,"GNG11","Upregulated"
1.87558529838544e-163,6.63495800472365,0.317,0.01,6.29033797372509e-159,"RAPGEF4","Upregulated"
3.3965125964839e-162,3.6965554605916,0.992,0.147,1.13912239460877e-157,"IGFBP7","Upregulated"
3.88947000289264e-159,6.6094616117182,0.358,0.014,1.30445044957013e-154,"FAM167B","Upregulated"
2.37259611281976e-157,8.00808378854887,0.283,0.008,7.9572128431749e-153,"EXOC3L2","Upregulated"
3.16131448202859e-157,6.60337744291173,0.517,0.034,1.06024165098275e-152,"SHANK3","Upregulated"
1.50276780164402e-156,5.8332280993028,0.367,0.015,5.03998265315372e-152,"RHOJ","Upregulated"
1.5991580645071e-154,5.79206450569151,0.342,0.013,5.3632563167439e-150,"GPR4","Upregulated"
8.69977232068372e-154,4.66927537588571,0.567,0.042,2.91772964091091e-149,"LAMA4","Upregulated"
1.58131703032331e-152,6.59030624393994,0.3,0.01,5.30342105629833e-148,"SHE","Upregulated"
5.32762824778284e-152,8.2288068268374,0.15,0.001,1.78677996174141e-147,"IGFBP1","Upregulated"
6.46294617589192e-152,6.24303977242678,0.425,0.023,2.16754288847063e-147,"FZD4","Upregulated"
1.46407015760737e-151,5.53655364148405,0.508,0.034,4.91019849458359e-147,"S1PR1","Upregulated"
1.25947206628971e-150,8.17758081749724,0.117,0,4.22401741592242e-146,"ANO2","Upregulated"
6.38694053559852e-149,7.33578799160045,0.292,0.009,2.14205211682903e-144,"ADAMTS5","Upregulated"
7.62398865342486e-149,5.12335711062476,0.675,0.067,2.55693331458563e-144,"LMO2","Upregulated"
2.76535164042731e-148,9.78489800312186,0.1,0,9.2744363316651e-144,"AC147067.2","Upregulated"
2.76535164042731e-148,10.0611656593866,0.1,0,9.2744363316651e-144,"AC110799.1","Upregulated"
4.79046235325073e-147,6.33923368863023,0.425,0.024,1.60662526403323e-142,"HECW2","Upregulated"
1.0281986882468e-146,5.36575326737118,0.742,0.085,3.44837276064211e-142,"ITM2A","Upregulated"
6.39989015526227e-144,5.93592389246896,0.3,0.01,2.14639516027186e-139,"GIMAP8","Upregulated"
5.85205823564741e-143,5.81438989527046,0.267,0.008,1.96266329107143e-138,"THSD1","Upregulated"
6.73171065494098e-143,5.95831695688438,0.308,0.011,2.25768111945411e-138,"DCHS1","Upregulated"
2.68013403377098e-141,8.18227206728988,0.158,0.002,8.9886335224611e-137,"TMEM233","Upregulated"
2.19278356848576e-140,3.98463492673513,0.883,0.129,7.35415753198755e-136,"SPARC","Upregulated"
1.33303775454864e-139,5.58739198928052,0.267,0.008,4.47074202120523e-135,"TSPAN18","Upregulated"
9.12523554312337e-139,4.19330648263388,0.758,0.093,3.06042149645271e-134,"COL4A2","Upregulated"
1.20383352381136e-138,8.4826763039144,0.108,0,4.03741687215853e-134,"SELP","Upregulated"
4.45146649995153e-138,5.19170617657519,0.458,0.03,1.49293283475374e-133,"SHROOM4","Upregulated"
9.51318862226863e-138,5.83984501096109,0.225,0.005,3.19053320013645e-133,"CLEC1A","Upregulated"
1.02461044216532e-137,5.65388985048679,0.358,0.017,3.43633850093406e-133,"CDA","Upregulated"
1.43404759137736e-136,6.35807129145757,0.158,0.002,4.80950881196139e-132,"ZNF366","Upregulated"
1.55203297561995e-136,4.68677476813378,0.458,0.03,5.20520819363419e-132,"SCARF1","Upregulated"
1.98243365915486e-135,3.85923027668534,0.558,0.045,6.64868600607358e-131,"ZEB1","Upregulated"
1.76744107087897e-133,4.11334470877763,0.558,0.047,5.92764386351388e-129,"GIMAP4","Upregulated"
6.79702268143157e-133,4.16351452934066,0.483,0.034,2.27958546689852e-128,"GGT5","Upregulated"
7.930050381337e-130,8.6019283264144,0.108,0,2.6595802968928e-125,"TLL1","Upregulated"
7.03626451258657e-129,6.35723017242773,0.625,0.068,2.35982239223128e-124,"NOSTRIN","Upregulated"
3.71385392143634e-127,6.09437189864945,0.7,0.091,1.24555232817132e-122,"PODXL","Upregulated"
1.94324138846046e-125,5.70120098591592,0.567,0.055,6.51724296861869e-121,"TGM2","Upregulated"
