"Gene"
"FTH1"
"CD24"
"CLDN3"
"EPCAM"
"TSTD1"
"ELF3"
"CLDN4"
"ATP1B1"
"KRT8"
"RNASET2"
"UCP2"
"MGST1"
"SPINT2"
"RGS10"
"S100A11"
"NUPR1"
"CKB"
"CD44"
"UBA52"
"SPINT1"
"CRABP2"
"VEGFA"
"GLUL"
"RBM47"
"FXYD3"
"KRT19"
"RPL30"
"RAB11FIP1"
"ST14"
"FKBP4"
"PPDPF"
"DNPH1"
"PRSS8"
"PTPRF"
"MAL2"
"BLVRB"
"RPS5"
"COX7C"
"CAPS"
"DDR1"
"VAMP8"
"FTL"
"SCD"
"SMIM22"
"KRT18"
"SDC1"
"TRPS1"
"CBR1"
"RPL8"
"CXADR"
"RPL41"
"EZR"
"MAFB"
"RAB25"
"CLDN7"
"PDE4DIP"
"CERS4"
"RPS24"
"RPL35A"
"SHTN1"
"PODXL2"
"PHGDH"
"LGALS3BP"
"HDDC2"
"TMEM106C"
"AP1M2"
"IRX3"
"LITAF"
"CAMK2N1"
"ERBB3"
"RPS9"
"RPS27"
"AGPAT2"
"RPL14"
"SOX9"
"RHOV"
"PEBP1"
"NENF"
"ABHD11"
"PMVK"
"SFN"
"RPL23A"
"CTSD"
"MIF"
"CTXN1"
"PPIF"
"S100A6"
"MUC1"
"SDC4"
"TMEM54"
"TFAP2A"
"CAPG"
"HSP90AA1"
"MCRIP2"
"NECTIN4"
"ITGB8"
"MORN2"
"EIF3H"
"JPT1"
"RPL39"
"HLA-DRA"
"PCSK1N"
"MDH1"
"UQCR10"
"NDUFB9"
"RPL36"
"SERINC2"
"CRNDE"
"SYTL1"
"CXCL16"
"CHCHD10"
"PLEKHB1"
"SMS"
"S100A14"
"KCNK1"
"NAXE"
"CDCP1"
"CHPF"
"PEG10"
"PAFAH1B3"
"GPM6B"
"TATDN1"
"CRB3"
"DBI"
"HIST1H1C"
"FAM49B"
"DHCR24"
"MARVELD3"
"MESP1"
"TC2N"
"TUBA1C"
"KIF21A"
