"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","category","neglog10p","neglog10p_plot"
8.69131610998684e-14,-0.673283802074585,0.955,0.98,2.91489359696739e-09,"MT-ND2","FDR<0.05",13.0609144541582,13.0609144541582
9.01973417196015e-14,0.852250826727695,0.87,0.707,3.02503844659199e-09,"RPL30","FDR<0.05",13.044806261721,13.044806261721
1.98670715472751e-13,0.736429372886626,0.905,0.811,6.66301845552514e-09,"RPS19","FDR<0.05",12.7018661441931,12.7018661441931
3.86146645083e-13,0.839314798847412,0.882,0.743,1.29505861827937e-08,"HLA-DPB1","FDR<0.05",12.413247734044,12.413247734044
1.40909805567585e-12,0.703302217569385,0.901,0.779,4.72583305912568e-08,"RPS4X","FDR<0.05",11.8510587843518,11.8510587843518
2.23723598050332e-12,0.623289822414247,0.915,0.823,7.50324203141203e-08,"RPS9","FDR<0.05",11.6502882047164,11.6502882047164
2.43519390366638e-12,0.713523754493821,0.919,0.807,8.16715331411632e-08,"RPL11","FDR<0.05",11.6134664521333,11.6134664521333
3.17270646985859e-12,0.766522218207248,0.868,0.779,1.06406229586118e-07,"RPS3","FDR<0.05",11.4985701057809,11.4985701057809
6.50712755531356e-12,0.779361798773093,0.891,0.779,2.18236043950106e-07,"HLA-DPA1","FDR<0.05",11.1866106799688,11.1866106799688
1.07349823784968e-11,0.702148418476674,0.878,0.787,3.60029839010025e-07,"RPL18","FDR<0.05",10.9691986641227,10.9691986641227
1.44110364531906e-11,0.722342680554372,0.907,0.811,4.83317340567105e-07,"RPS23","FDR<0.05",10.8413047832586,10.8413047832586
2.83109341791398e-11,0.684077053167441,0.882,0.743,9.49492110499992e-07,"RPS6","FDR<0.05",10.5480457999337,10.5480457999337
3.38305887657635e-11,0.637997090081798,0.876,0.755,1.13461028602618e-06,"RPS27A","FDR<0.05",10.470690443965,10.470690443965
5.21615495381235e-11,0.898101667028202,0.773,0.538,1.74939404840959e-06,"HLA-DQA1","FDR<0.05",10.2826495157067,10.2826495157067
6.20445108288081e-11,0.624759632575974,0.909,0.847,2.08084880417656e-06,"RPS18","FDR<0.05",10.2072966351517,10.2072966351517
7.51123750103514e-11,0.734633041630123,0.857,0.755,2.51911883309717e-06,"HSPA8","FDR<0.05",10.1242885056595,10.1242885056595
9.73516559582906e-11,-0.687782732553297,0.922,0.952,3.26497983752915e-06,"MT-ND5","FDR<0.05",10.0116566567024,10.0116566567024
1.11735105827531e-10,0.599424419509196,0.907,0.811,3.74737197924374e-06,"RPS24","FDR<0.05",9.95181035533711,9.95181035533711
1.33470663022221e-10,0.885088470802255,0.857,0.763,4.47633909643924e-06,"NFKBIA","FDR<0.05",9.87461418214729,9.87461418214729
1.45509151834748e-10,0.582506975446258,0.928,0.815,4.88008593423378e-06,"RPL19","FDR<0.05",9.83710969075824,9.83710969075824
2.75064321155911e-10,0.731310843715312,0.886,0.799,9.22510720292695e-06,"RPL3","FDR<0.05",9.56056573869068,9.56056573869068
3.03459842245179e-10,0.622269657617201,0.886,0.783,1.01774361892188e-05,"RPL29","FDR<0.05",9.51789877228308,9.51789877228308
4.2009832000259e-10,0.464129273988496,0.957,0.916,1.40892574562469e-05,"RPL13","FDR<0.05",9.37664905522722,9.37664905522722
6.3117216931399e-10,0.655933388912483,0.828,0.683,2.11682522144526e-05,"RPL24","FDR<0.05",9.19985215900623,9.19985215900623
1.02373509476813e-09,0.548498091562436,0.87,0.783,3.43340276083336e-05,"RPS16","FDR<0.05",8.9898124083642,8.9898124083642
1.08009440686346e-09,0.517053764729954,0.895,0.811,3.62242062173867e-05,"RPS14","FDR<0.05",8.96653828285753,8.96653828285753
1.35100579471784e-09,0.510404783838448,0.891,0.807,4.5310032343247e-05,"RPL12","FDR<0.05",8.86934278820329,8.86934278820329
1.55428098886121e-09,0.609892095719618,0.919,0.839,5.21274758044272e-05,"RPL41","FDR<0.05",8.80847046501996,8.80847046501996
1.89117926902829e-09,0.94710259503466,0.473,0.237,6.34263703246708e-05,"C3","FDR<0.05",8.72326730147775,8.72326730147775
2.78224067340662e-09,0.549033509548462,0.89,0.807,9.33107877047112e-05,"RPL18A","FDR<0.05",8.55560530474962,8.55560530474962
3.03308878742586e-09,0.573095263200861,0.87,0.779,0.000101723731752689,"RPS3A","FDR<0.05",8.51811487642698,8.51811487642698
3.09213817146726e-09,-0.885160427672036,0.682,0.759,0.000103704129994669,"XIST","FDR<0.05",8.50974110797329,8.50974110797329
3.31440833404274e-09,1.01469453081678,0.8,0.671,0.000111158626707125,"CCL4","FDR<0.01 & |log2FC|>1",8.47959398767977,8.47959398767977
4.5959971267779e-09,-1.21192805612218,0.391,0.542,0.000154140551637877,"LRP1","FDR<0.01 & |log2FC|>1",8.33762025148612,8.33762025148612
5.50448154527881e-09,0.818855821465073,0.746,0.602,0.000184609302065561,"RPS5","FDR<0.05",8.25928357998523,8.25928357998523
5.62161519617045e-09,1.51984064118698,0.225,0.056,0.000188537730449164,"PLD4","FDR<0.01 & |log2FC|>1",8.25013888549829,8.25013888549829
5.62594954642458e-09,1.15482648540753,0.516,0.321,0.000188683095887988,"HLA-DRB5","FDR<0.01 & |log2FC|>1",8.24980416691089,8.24980416691089
6.02173337029062e-09,0.383043489288408,0.994,0.976,0.000201956893772807,"B2M","FDR<0.05",8.22027847804529,8.22027847804529
6.1481116139043e-09,-0.496863408831431,0.973,0.996,0.000206195367307123,"MT-CYB","FDR<0.05",8.21125825684198,8.21125825684198
6.29657040672367e-09,0.602948234171524,0.928,0.916,0.000211174378300699,"RPS2","FDR<0.05",8.20089593610142,8.20089593610142
6.53434153575105e-09,1.05523472614418,0.479,0.257,0.000219148746426019,"STX11","FDR<0.01 & |log2FC|>1",8.18479816964393,8.18479816964393
9.8790563855233e-09,0.607301694033545,0.816,0.659,0.00033132379305768,"RPS25","FDR<0.05",8.00528453579004,8.00528453579004
1.01884138668034e-08,1.7955584012849,0.223,0.056,0.000341699024264851,"RARRES3","FDR<0.01 & |log2FC|>1",7.99189342173568,7.99189342173568
1.06881191797612e-08,-0.488415005532749,0.984,0.992,0.00035845814105083,"MT-ATP6","FDR<0.05",7.97109871216418,7.97109871216418
1.13922417081578e-08,0.586993705751077,0.917,0.839,0.000382073002408196,"RPL32","FDR<0.05",7.94339080922288,7.94339080922288
1.22926275740576e-08,-1.69202722089979,0.209,0.373,0.000412270143578745,"NRP1","FDR<0.01 & |log2FC|>1",7.91035527586499,7.91035527586499
1.29334248289931e-08,0.719865501101021,0.785,0.647,0.00043376120191477,"RPL10A","FDR<0.05",7.88828645676054,7.88828645676054
1.63833355951178e-08,0.520799801594914,0.915,0.827,0.00054946430918906,"RPL15","FDR<0.05",7.78559767259543,7.78559767259543
1.90664261617477e-08,-0.48669404949815,0.981,0.996,0.000639449800612693,"MT-CO1","FDR<0.05",7.7197307041059,7.7197307041059
1.91384200462594e-08,1.10621931922183,0.589,0.373,0.000641864331511449,"PMAIP1","FDR<0.01 & |log2FC|>1",7.71809391783991,7.71809391783991
2.38643468658585e-08,-1.04304859287902,0.63,0.711,0.000800362465187162,"PLTP","FDR<0.01 & |log2FC|>1",7.62225044717392,7.62225044717392
2.41459277762407e-08,0.47035171647869,0.965,0.932,0.00080980612575956,"RPLP1","FDR<0.05",7.61715610273575,7.61715610273575
2.44629975159349e-08,0.458105760840781,0.95,0.964,0.000820440010689426,"UBC","FDR<0.05",7.61149032878502,7.61149032878502
2.47854122329095e-08,0.886362544816484,0.826,0.751,0.000831253155467319,"DUSP1","FDR<0.05",7.60580385347906,7.60580385347906
2.61839926956508e-08,0.651485870053898,0.901,0.799,0.000878158747026736,"HLA-DRB1","FDR<0.05",7.58196412885186,7.58196412885186
2.97042542412068e-08,0.547761897944328,0.893,0.819,0.000996221278741592,"SRGN","FDR<0.05",7.52718134660304,7.52718134660304
3.32325784919393e-08,-0.671656264580341,0.868,0.912,0.00111455421746266,"CTSB","FDR<0.05",7.47843596081649,7.47843596081649
3.4873709792825e-08,0.54217644643059,0.785,0.647,0.00116959447903177,"ID2","FDR<0.05",7.45750185082147,7.45750185082147
3.72026471009759e-08,-0.462436843435635,0.983,0.988,0.00124770237847253,"MT-ND4","FDR<0.05",7.42942615741794,7.42942615741794
3.88732995549152e-08,2.7072328665389,0.203,0.052,0.00130373272047274,"IL6","FDR<0.01 & |log2FC|>1",7.41034859500868,7.41034859500868
3.92909766944025e-08,1.06288387122003,0.62,0.446,0.00131774077637687,"RGCC","FDR<0.01 & |log2FC|>1",7.40570717536948,7.40570717536948
4.10792373313692e-08,0.832236731393446,0.399,0.193,0.00137771546161946,"OSER1","FDR<0.05",7.38637762802151,7.38637762802151
5.04314301936341e-08,0.723096863268235,0.766,0.598,0.0016913693058341,"RPL5","FDR<0.05",7.29729871543405,7.29729871543405
6.61654260841111e-08,0.624435031710671,0.802,0.691,0.00221905606000892,"RPL23A","FDR<0.05",7.17936888643981,7.17936888643981
6.99634410460896e-08,0.518678444438351,0.876,0.743,0.00234643388580375,"RPL7A","FDR<0.05",7.15512883855046,7.15512883855046
8.06065837117817e-08,0.485934523128996,0.926,0.859,0.00270338360452574,"EIF1","FDR<0.05",7.09362948483355,7.09362948483355
8.61069613714994e-08,1.08307139007907,0.446,0.241,0.00288785527047735,"FCGR1A","FDR<0.01 & |log2FC|>1",7.0649617363162,7.0649617363162
8.64482280057847e-08,0.560050032465257,0.828,0.719,0.00289930067085801,"RPS7","FDR<0.05",7.06324390435879,7.06324390435879
1.26967436096034e-07,0.463414011456676,0.893,0.795,0.00425823387178878,"RPL9","FDR<0.05",6.89630765020325,6.89630765020325
